model_id,creator,family,downloads,created_at,direct_derivatives,total_descendants,max_depth,avg_depth,depth_1_count,depth_2_count,depth_3_count,depth_4plus_count
Qwen/Qwen3-1.7B-Base,Qwen,Qwen,336333,2025-04-28 05:05:55+00:00,253,1191,5,2.0,253,704,218,16
TheDrummer/Anubis-70B-v1,unknown,Other,0,,125,393,5,2.04,125,160,83,25
microsoft/phi-4,microsoft,Phi,995087,2024-12-11 11:47:29+00:00,193,652,5,1.77,193,419,36,4
SicariusSicariiStuff/Negative_LLAMA_70B,unknown,LLaMA,0,,309,777,5,1.91,309,278,143,47
unsloth/Qwen3-8B-unsloth-bnb-4bit,unknown,Qwen,0,,188,222,5,1.24,188,23,4,7
OpenPipe/mistral-ft-optimized-1218,OpenPipe,Mistral,927,2023-12-17 14:30:06+00:00,126,138,5,1.13,126,9,1,2
Sao10K/L3-70B-Euryale-v2.1,Sao10K,Other,94,2024-06-11 19:27:49+00:00,110,328,5,2.01,110,125,75,18
microsoft/Phi-3.5-mini-instruct,microsoft,Phi,619774,2024-08-16 20:48:26+00:00,234,439,5,1.55,234,179,17,9
allenai/Olmo-3-1025-7B,allenai,Other,98598,2025-09-12 19:24:57+00:00,142,245,5,2.04,142,28,6,69
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,deepseek-ai,Qwen,938100,2025-01-20 09:19:00+00:00,161,287,4,1.55,161,95,29,2
google/gemma-3-270m,google,Gemma,83352,2025-08-05 18:50:31+00:00,142,1544,4,2.15,142,1048,341,13
Qwen/Qwen2-0.5B,Qwen,Qwen,468709,2024-05-31 08:38:11+00:00,104,321,4,1.71,104,206,10,1
google/gemma-2-2b,google,Gemma,276472,2024-07-16 08:07:29+00:00,204,882,4,1.91,204,563,106,9
TheDrummer/Fallen-Llama-3.3-R1-70B-v1,unknown,LLaMA,0,,136,362,4,1.93,136,134,72,20
